time,block,txnIndex,txnHash,borrowRate,borrowRateMode,value,currency
1680063760,15934777,31,0xfc88abbe08e2e9fb130dc5f5f7095fa260ef1fb037a8956d8987270dc8363b94,0.025354477335997844,2,40000000000000000000000,DAI
1680063800,15934787,82,0xf61c3a16a15c7ca200c610522f7d6b23d7c5264969234ea803a098d6b000ea4e,0.022468751307333265,2,12000.0,USDC
1680063950,15934828,186,0xa5b18b5f4e3fb0cb1be150bfdc9eb280fd566bc0e4c341352a091085097c10b5,0.022465498453316506,2,7000.0,USDC
1680064000,15934842,85,0x9e5f5822b61ef9756841a0314642c57e1cf143b7df385d201c50f727f09fe770,0.19206825670457378,2,175000.0,USDT
1680064060,15934865,89,0x6427d492a0a4323efb73a4fe0c95da5b320d783704bbd216a71f6050f0b8179a,0.023302929601351295,2,10000000000000000000000,0x4Fabb145d64652a948d72533023f6E7A623C7C53
1680064320,15934911,109,0x8769985b5b26971e76fd2d50438cd45d44d74547a7d98cff5de83e4de5914288,0.02227475083512066,2,8000.0,USDC
1680064340,15934916,148,0x2ee10914a53e7745e9cb16fda28ae7f3033c15cc7ad274dae0d960a74792542d,0.27024433093752837,1,200000.0,USDT
1680064430,15934932,166,0x9122b7debf95cd68f12010d429f978d90ba4aaa7f863abfdf412fbb6d80df031,0.022293305022384927,2,500000.0,USDC
1680064440,15934933,90,0x0ee69ed19f19089e015a879c95056d0985736cdd2389c1f57b6b88e3e00b6498,0.01141627343374601,2,10.0,WBTC
1680064630,15934968,7,0xa8f59d2073496d91f0110bdc1c699ba12bfe2b53771ccc041f80d8b8cc3289fe,0.044180220025290165,1,10.0,WBTC
1680064650,15934978,127,0x0f172b6dd70a14bb3805a586d9a47b3fcbd73de763bbf8a700b2f0cb746dceae,0.022284349426445717,2,60000.0,USDC
1680064660,15934981,65,0xa7f9b6dd856b513b11f6c76dc04fadd3ac29598cee512f1ce63100a1954123cc,0.011404976142861897,2,7.0,WBTC
1680064710,15935004,206,0x9f51633566639c71c25c6f6bfc89d913fbf18915bc1ea088bf4bf51a01287613,0.011430012347957916,2,7.0,WBTC
